service_id,date,exception_type
BFA20GEN-B081-Weekday-00,20210531,2
BFA20GEN-C052-Weekday-00,20201126,2
BFA20GEN-C052-Weekday-00,20201225,2
BFA20GEN-C052-Weekday-00,20210101,2
BFA20GEN-C052-Weekday-00,20210215,2
BFA20GEN-C052-Weekday-00,20210531,2
BFA20GEN-D077-Weekday-00,20201126,2
BFA20GEN-D077-Weekday-00,20201225,2
BFA20GEN-D077-Weekday-00,20210101,2
BFA20GEN-D077-Weekday-00,20210215,2
BFA20GEN-D077-Weekday-00,20210531,2
BFA20GEN-E073-Weekday-00,20201126,2
BFA20GEN-E073-Weekday-00,20201225,2
BFA20GEN-E073-Weekday-00,20210101,2
BFA20GEN-E073-Weekday-00,20210215,2
BFA20GEN-E073-Weekday-00,20210531,2
BFA20GEN-F075-Weekday-00,20201126,2
BFA20GEN-F075-Weekday-00,20201225,2
BFA20GEN-F075-Weekday-00,20210101,2
BFA20GEN-F075-Weekday-00,20210215,2
BFA20GEN-F075-Weekday-00,20210531,2
BFA20GEN-FS011-Weekday-00,20201126,2
BFA20GEN-FS011-Weekday-00,20201225,2
BFA20GEN-FS011-Weekday-00,20210101,2
BFA20GEN-FS011-Weekday-00,20210215,2
BFA20GEN-FS011-Weekday-00,20210531,2
BFA20GEN-G052-Weekday-00,20201126,2
BFA20GEN-G052-Weekday-00-0111100,20201126,2
BFA20GEN-G052-Weekday-00,20201225,2
BFA20GEN-G052-Weekday-00-0111100,20201225,2
BFA20GEN-G052-Weekday-00,20210101,2
BFA20GEN-G052-Weekday-00-0111100,20210101,2
BFA20GEN-G052-Weekday-00,20210215,2
BFA20GEN-G052-Weekday-00-0111100,20210215,2
BFA20GEN-G052-Weekday-00,20210531,2
BFA20GEN-G052-Weekday-00-0111100,20210531,2
AFA20GEN-GS020-Weekday-00,20201126,2
AFA20GEN-GS020-Weekday-00,20201225,2
AFA20GEN-GS020-Weekday-00,20210101,2
AFA20GEN-GS020-Weekday-00,20210215,2
AFA20GEN-GS020-Weekday-00,20210531,2
BFA20GEN-H039-Weekday-00,20201126,2
BFA20GEN-H039-Weekday-00-0111100,20201126,2
BFA20GEN-H039-Weekday-00,20201225,2
BFA20GEN-H039-Weekday-00-0111100,20201225,2
BFA20GEN-H039-Weekday-00,20210101,2
BFA20GEN-H039-Weekday-00-0111100,20210101,2
BFA20GEN-H039-Weekday-00,20210215,2
BFA20GEN-H039-Weekday-00-0111100,20210215,2
BFA20GEN-H039-Weekday-00,20210531,2
BFA20GEN-H039-Weekday-00-0111100,20210531,2
BFA20GEN-J052-Weekday-00,20201126,2
BFA20GEN-J052-Weekday-00,20201225,2
BFA20GEN-J052-Weekday-00,20210101,2
BFA20GEN-J052-Weekday-00,20210215,2
BFA20GEN-J052-Weekday-00,20210531,2
BFA20GEN-L045-Weekday-00,20201126,2
BFA20GEN-L045-Weekday-00,20201225,2
BFA20GEN-L045-Weekday-00,20210101,2
BFA20GEN-L045-Weekday-00,20210215,2
BFA20GEN-L045-Weekday-00,20210531,2
BFA20GEN-M089-Weekday-00,20201126,2
BFA20GEN-M089-Weekday-00-0111100,20201126,2
BFA20GEN-M089-Weekday-00,20201225,2
BFA20GEN-M089-Weekday-00-0111100,20201225,2
BFA20GEN-M089-Weekday-00,20210101,2
BFA20GEN-M089-Weekday-00-0111100,20210101,2
BFA20GEN-M089-Weekday-00,20210215,2
BFA20GEN-M089-Weekday-00-0111100,20210215,2
BFA20GEN-M089-Weekday-00,20210531,2
BFA20GEN-M089-Weekday-00-0111100,20210531,2
BFA20GEN-N093-Weekday-00,20201126,2
BFA20GEN-N093-Weekday-00,20201225,2
BFA20GEN-N093-Weekday-00,20210101,2
BFA20GEN-N093-Weekday-00,20210215,2
BFA20GEN-N093-Weekday-00,20210531,2
BFA20GEN-Q062-Weekday-00,20201126,2
BFA20GEN-Q062-Weekday-00,20201225,2
BFA20GEN-Q062-Weekday-00,20210101,2
BFA20GEN-Q062-Weekday-00,20210215,2
BFA20GEN-Q062-Weekday-00,20210531,2
BFA20GEN-R089-Weekday-00,20201126,2
BFA20GEN-R089-Weekday-00,20201225,2
BFA20GEN-R089-Weekday-00,20210101,2
BFA20GEN-R089-Weekday-00,20210215,2
BFA20GEN-R089-Weekday-00,20210531,2
SIR-FA2017-SI017-Weekday-08,20201126,2
SIR-FA2017-SI017-Weekday-08,20201225,2
SIR-FA2017-SI017-Weekday-08,20210101,2
SIR-FA2017-SI017-Weekday-08,20210215,2
SIR-FA2017-SI017-Weekday-08,20210531,2
AFA20GEN-1038-Saturday-00,20210215,1
AFA20GEN-2042-Saturday-00,20210215,1
AFA20GEN-3039-Saturday-00,20210215,1
AFA20GEN-4043-Saturday-00,20210215,1
AFA20GEN-5043-Saturday-00,20210215,1
AFA20GEN-6033-Saturday-00,20210215,1
AFA20GEN-7023-Saturday-00,20210215,1
BFA20GEN-A045-Saturday-00,20210215,1
BFA20GEN-C025-Saturday-00,20210215,1
BFA20GEN-D038-Saturday-00,20210215,1
BFA20GEN-E041-Saturday-00,20210215,1
BFA20GEN-F044-Saturday-00,20210215,1
BFA20GEN-FS011-Saturday-00,20210215,1
BFA20GEN-G036-Saturday-00,20210215,1
AFA20GEN-GS011-Saturday-00,20210215,1
BFA20GEN-H025-Saturday-00,20210215,1
BFA20GEN-J032-Saturday-00,20210215,1
BFA20GEN-L022-Saturday-00,20210215,1
BFA20GEN-M024-Saturday-00,20210215,1
BFA20GEN-N056-Saturday-00,20210215,1
BFA20GEN-Q021-Saturday-00,20210215,1
BFA20GEN-R051-Saturday-00,20210215,1
SIR-SP2018-SI017-Sunday-00,20201129,2
SIR-SP2018-SI017-Sunday-00,20201206,2
SIR-SP2018-SI017-Sunday-00,20201213,2
SIR-SP2018-SI017-Sunday-00,20201220,2
SIR-SP2018-SI017-Sunday-00,20201126,1
SIR-SP2018-SI017-Sunday-00,20201225,1
SIR-SP2018-SI017-Sunday-00,20210101,1
SIR-SP2018-SI017-Sunday-00,20210531,1
SIR-SP2018-SI017-Saturday-00,20210215,1
